Age,APVx
35,0.16280913158066831
36,0.16767506984831884
37,0.173519209653284
38,0.17874711574810534
39,0.1865543303122008
40,0.19308627259537287
41,0.19968536590938685
42,0.20703815702481707
43,0.2149863492812195
44,0.22115853494431464
45,0.22633226940951465
46,0.22913375260906357
47,0.23111046388204362
48,0.23178273870193256
49,0.23104350616463362
50,0.22921919989441408
51,0.22602820114473418
52,0.22205082727494863
53,0.21663039522059646
54,0.21018169434176778
55,0.20288271225518406
56,0.19462303295351976
57,0.18537004871410717
58,0.1750791414051928
59,0.16351045098579872
60,0.15169022299560184
61,0.1388018476631426
62,0.12622705240958534
63,0.11352377502514849
64,0.10107989669259172
65,0.08902635970258743
66,0.07788633872445362
67,0.06762298038045825
68,0.05828204045371444
69,0.04970361287096885
70,0.04191101826186479
71,0.034893386019047075
72,0.028632006934641782
73,0.023123009569973176
74,0.01831578166700888
75,0.014235023464483975
76,0.010779977992405846
77,0.00789824010219746
78,0.005575775340535451
79,0.003776727767793568
80,0.0024432983500243914
81,0.0015047738439361582
82,0.0008424169967072405
83,0.0004515057148613638
84,0.0001921870485555644
85,6.199696959026259e-05
86,5.225006979147011e-06
87,0.0
